site,species,plant_no,wet_weight_g,psi_bars
laselva,elaphoglossum_amygdalifolium,2,1.1431,5.6
laselva,elaphoglossum_amygdalifolium,2,1.1415,6.5
laselva,elaphoglossum_amygdalifolium,2,1.1323,8.9
laselva,elaphoglossum_amygdalifolium,2,1.1241,10
laselva,elaphoglossum_amygdalifolium,2,1.1213,10.1
laselva,elaphoglossum_amygdalifolium,2,1.1079,11
laselva,elaphoglossum_amygdalifolium,2,1.0754,11.9
laselva,elaphoglossum_amygdalifolium,2,1.0428,12.5
laselva,elaphoglossum_amygdalifolium,2,1.0185,13
laselva,elaphoglossum_amygdalifolium,3,0.5583,2.5
laselva,elaphoglossum_amygdalifolium,3,0.556,2.5
laselva,elaphoglossum_amygdalifolium,3,0.5549,3
laselva,elaphoglossum_amygdalifolium,3,0.5516,3.5
laselva,elaphoglossum_amygdalifolium,3,0.5509,4.6
laselva,elaphoglossum_amygdalifolium,3,0.5492,6.6
laselva,elaphoglossum_amygdalifolium,3,0.5457,10.5
laselva,elaphoglossum_amygdalifolium,3,0.543,14.4
laselva,elaphoglossum_amygdalifolium,3,0.5408,19.1
laselva,elaphoglossum_amygdalifolium,3,0.5338,22
laselva,elaphoglossum_amygdalifolium,4,0.5067,2.4
laselva,elaphoglossum_amygdalifolium,4,0.5046,4.7
laselva,elaphoglossum_amygdalifolium,4,0.5031,6.5
laselva,elaphoglossum_amygdalifolium,4,0.5007,8.2
laselva,elaphoglossum_amygdalifolium,4,0.498,10
laselva,elaphoglossum_amygdalifolium,4,0.4938,11
laselva,elaphoglossum_amygdalifolium,4,0.4905,11
laselva,elaphoglossum_amygdalifolium,4,0.4796,11.6
laselva,elaphoglossum_amygdalifolium,4,0.4679,12.3
laselva,elaphoglossum_amygdalifolium,4,0.455,12.6
laselva,elaphoglossum_amygdalifolium,4,0.4419,13
laselva,elaphoglossum_amygdalifolium,5,0.5433,3
laselva,elaphoglossum_amygdalifolium,5,0.5415,3
laselva,elaphoglossum_amygdalifolium,5,0.5377,7.7
laselva,elaphoglossum_amygdalifolium,5,0.5342,9.1
laselva,elaphoglossum_amygdalifolium,5,0.5305,12.6
laselva,elaphoglossum_amygdalifolium,5,0.5264,13.9
laselva,elaphoglossum_amygdalifolium,5,0.5224,13.9
laselva,elaphoglossum_amygdalifolium,5,0.5097,15
laselva,elaphoglossum_amygdalifolium,5,0.4912,16.1
laselva,elaphoglossum_amygdalifolium,5,0.4742,16.2
laselva,elaphoglossum_amygdalifolium,5,0.4555,17.5
laselva,elaphoglossum_amygdalifolium,6,0.465,0.5
laselva,elaphoglossum_amygdalifolium,6,0.4598,3.6
laselva,elaphoglossum_amygdalifolium,6,0.4584,3.3
laselva,elaphoglossum_amygdalifolium,6,0.4546,5.6
laselva,elaphoglossum_amygdalifolium,6,0.4517,12.2
laselva,elaphoglossum_amygdalifolium,6,0.4505,13.6
laselva,elaphoglossum_amygdalifolium,6,0.4471,15.1
laselva,elaphoglossum_amygdalifolium,6,0.442,16
laselva,elaphoglossum_amygdalifolium,6,0.4319,16.5
laselva,elaphoglossum_amygdalifolium,6,0.4191,17
laselva,elaphoglossum_amygdalifolium,6,0.4032,17.1
laselva,elaphoglossum_herminieri,1,1.0551,1.5
laselva,elaphoglossum_herminieri,1,1.0515,4
laselva,elaphoglossum_herminieri,1,1.0501,5.6
laselva,elaphoglossum_herminieri,1,1.0458,5.6
laselva,elaphoglossum_herminieri,1,1.0457,7.5
laselva,elaphoglossum_herminieri,1,1.0449,7.5
laselva,elaphoglossum_herminieri,1,1.0418,7.8
laselva,elaphoglossum_herminieri,1,1.038,9.8
laselva,elaphoglossum_herminieri,1,1.0333,9.8
laselva,elaphoglossum_herminieri,1,1.0279,13.9
laselva,elaphoglossum_herminieri,1,1.0231,15.2
laselva,elaphoglossum_herminieri,1,1.0181,15.2
laselva,elaphoglossum_herminieri,1,1.0079,17.2
laselva,elaphoglossum_herminieri,1,1.006,17.5
laselva,elaphoglossum_herminieri,2,1.3471,2.8
laselva,elaphoglossum_herminieri,2,1.3414,3.4
laselva,elaphoglossum_herminieri,2,1.3358,5.1
laselva,elaphoglossum_herminieri,2,1.3274,5.8
laselva,elaphoglossum_herminieri,2,1.32,8.2
laselva,elaphoglossum_herminieri,2,1.3123,10
laselva,elaphoglossum_herminieri,2,1.3051,10.6
laselva,elaphoglossum_herminieri,2,1.2945,11.9
laselva,elaphoglossum_herminieri,2,1.2838,13.1
laselva,elaphoglossum_herminieri,2,1.2751,13.1
laselva,elaphoglossum_herminieri,2,1.2488,14.9
laselva,elaphoglossum_herminieri,3,1.4763,2
laselva,elaphoglossum_herminieri,3,1.4737,4.5
laselva,elaphoglossum_herminieri,3,1.47,5
laselva,elaphoglossum_herminieri,3,1.4683,5.6
laselva,elaphoglossum_herminieri,3,1.465,5.9
laselva,elaphoglossum_herminieri,3,1.4595,6.9
laselva,elaphoglossum_herminieri,3,1.4575,8.8
laselva,elaphoglossum_herminieri,3,1.453,9.1
laselva,elaphoglossum_herminieri,3,1.4473,10.8
laselva,elaphoglossum_herminieri,3,1.4441,11.5
laselva,elaphoglossum_herminieri,3,1.4373,12.2
laselva,elaphoglossum_herminieri,3,1.4325,14
laselva,elaphoglossum_herminieri,3,1.4256,15.6
laselva,elaphoglossum_herminieri,4,1.6297,2.5
laselva,elaphoglossum_herminieri,4,1.6255,3.9
laselva,elaphoglossum_herminieri,4,1.6184,4.9
laselva,elaphoglossum_herminieri,4,1.6135,4.8
laselva,elaphoglossum_herminieri,4,1.6074,5.2
laselva,elaphoglossum_herminieri,4,1.5999,6.8
laselva,elaphoglossum_herminieri,4,1.5935,8.9
laselva,elaphoglossum_herminieri,4,1.585,9.8
laselva,elaphoglossum_herminieri,4,1.5812,11.2
laselva,elaphoglossum_herminieri,4,1.5746,11.2
laselva,elaphoglossum_herminieri,4,1.564,11.9
laselva,elaphoglossum_herminieri,4,1.5574,12.8
laselva,elaphoglossum_herminieri,4,1.5477,13.2
laselva,elaphoglossum_herminieri,5,1.6042,3.5
laselva,elaphoglossum_herminieri,5,1.596,4.4
laselva,elaphoglossum_herminieri,5,1.5899,5.6
laselva,elaphoglossum_herminieri,5,1.5825,7
laselva,elaphoglossum_herminieri,5,1.5761,8
laselva,elaphoglossum_herminieri,5,1.5689,11.6
laselva,elaphoglossum_herminieri,5,1.5615,12.7
laselva,elaphoglossum_herminieri,5,1.5535,14.5
laselva,elaphoglossum_herminieri,5,1.5392,16.8
laselva,elaphoglossum_herminieri,6,1.4218,1
laselva,elaphoglossum_herminieri,6,1.413,4.8
laselva,elaphoglossum_herminieri,6,1.405,6.4
laselva,elaphoglossum_herminieri,6,1.4006,7.2
laselva,elaphoglossum_herminieri,6,1.3957,9.6
laselva,elaphoglossum_herminieri,6,1.3947,9.6
laselva,elaphoglossum_herminieri,6,1.3929,9.5
laselva,elaphoglossum_herminieri,6,1.383,10.7
laselva,elaphoglossum_herminieri,6,1.3805,11.5
laselva,elaphoglossum_herminieri,6,1.3733,12.7
laselva,elaphoglossum_herminieri,6,1.3766,13.7
laselva,elaphoglossum_herminieri,6,1.3579,15.9
laselva,elaphoglossum_herminieri,6,1.3528,19.9
laselva,elaphoglossum_latifolium,1,0.927,2.5
laselva,elaphoglossum_latifolium,1,0.9251,3
laselva,elaphoglossum_latifolium,1,0.9233,4
laselva,elaphoglossum_latifolium,1,0.9214,5
laselva,elaphoglossum_latifolium,1,0.92,5.5
laselva,elaphoglossum_latifolium,1,0.9194,7
laselva,elaphoglossum_latifolium,1,0.9178,7
laselva,elaphoglossum_latifolium,1,0.9124,9.8
laselva,elaphoglossum_latifolium,1,0.9055,13.2
laselva,elaphoglossum_latifolium,1,0.8969,14.4
laselva,elaphoglossum_latifolium,1,0.8897,15.5
laselva,elaphoglossum_latifolium,2,1.3083,1.5
laselva,elaphoglossum_latifolium,2,1.3053,2.2
laselva,elaphoglossum_latifolium,2,1.301,3.5
laselva,elaphoglossum_latifolium,2,1.2981,4
laselva,elaphoglossum_latifolium,2,1.295,4.5
