site,species,plant_no,disk,region,stomata_no,fov_mm2,mag
las_cruces,asplenium_uniseriale,2,3,1,3,0.159,40
las_cruces,asplenium_uniseriale,2,3,2,1,0.159,40
las_cruces,asplenium_uniseriale,2,3,3,4,0.159,40
las_cruces,asplenium_uniseriale,3,1,1,6,0.159,40
las_cruces,asplenium_uniseriale,3,1,2,5,0.159,40
las_cruces,asplenium_uniseriale,3,1,3,6,0.159,40
las_cruces,asplenium_uniseriale,3,2,1,9,0.159,40
las_cruces,asplenium_uniseriale,3,2,2,4,0.159,40
las_cruces,asplenium_uniseriale,3,2,3,7,0.159,40
las_cruces,asplenium_uniseriale,3,3,1,8,0.159,40
las_cruces,asplenium_uniseriale,3,3,2,9,0.159,40
las_cruces,asplenium_uniseriale,3,3,3,6,0.159,40
las_cruces,asplenium_uniseriale,4,1,1,4,0.159,40
las_cruces,asplenium_uniseriale,4,1,2,8,0.159,40
las_cruces,asplenium_uniseriale,4,1,3,3,0.159,40
las_cruces,asplenium_uniseriale,4,2,1,3,0.159,40
las_cruces,asplenium_uniseriale,4,2,2,2,0.159,40
las_cruces,asplenium_uniseriale,4,2,3,7,0.159,40
las_cruces,asplenium_uniseriale,4,3,1,4,0.159,40
las_cruces,asplenium_uniseriale,4,3,2,3,0.159,40
las_cruces,asplenium_uniseriale,4,3,3,3,0.159,40
las_cruces,asplenium_uniseriale,5,1,1,4,0.159,40
las_cruces,asplenium_uniseriale,5,1,2,5,0.159,40
las_cruces,asplenium_uniseriale,5,1,3,3,0.159,40
las_cruces,asplenium_uniseriale,5,2,1,4,0.159,40
las_cruces,asplenium_uniseriale,5,2,2,7,0.159,40
las_cruces,asplenium_uniseriale,5,2,3,8,0.159,40
las_cruces,asplenium_uniseriale,5,3,1,7,0.159,40
las_cruces,asplenium_uniseriale,5,3,2,7,0.159,40
las_cruces,asplenium_uniseriale,5,3,3,5,0.159,40
las_cruces,asplenium_uniseriale,6,1,1,5,0.159,40
las_cruces,asplenium_uniseriale,6,1,2,4,0.159,40
las_cruces,asplenium_uniseriale,6,1,3,5,0.159,40
las_cruces,asplenium_uniseriale,6,2,1,4,0.159,40
las_cruces,asplenium_uniseriale,6,2,2,5,0.159,40
las_cruces,asplenium_uniseriale,6,2,3,6,0.159,40
las_cruces,asplenium_uniseriale,6,3,1,8,0.159,40
las_cruces,asplenium_uniseriale,6,3,2,4,0.159,40
las_cruces,asplenium_uniseriale,6,3,3,5,0.159,40
las_cruces,elaphoglossum_decursivum,1,1,1,3,0.159,40
las_cruces,elaphoglossum_decursivum,1,1,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,1,1,3,5,0.159,40
las_cruces,elaphoglossum_decursivum,1,2,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,1,2,2,2,0.159,40
las_cruces,elaphoglossum_decursivum,1,2,3,4,0.159,40
las_cruces,elaphoglossum_decursivum,1,3,1,3,0.159,40
las_cruces,elaphoglossum_decursivum,1,3,2,4,0.159,40
las_cruces,elaphoglossum_decursivum,1,3,3,1,0.159,40
las_cruces,elaphoglossum_decursivum,2,1,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,2,1,2,1,0.159,40
las_cruces,elaphoglossum_decursivum,2,1,3,5,0.159,40
las_cruces,elaphoglossum_decursivum,2,2,1,3,0.159,40
las_cruces,elaphoglossum_decursivum,2,2,2,4,0.159,40
las_cruces,elaphoglossum_decursivum,2,2,3,3,0.159,40
las_cruces,elaphoglossum_decursivum,2,3,1,4,0.159,40
las_cruces,elaphoglossum_decursivum,2,3,2,1,0.159,40
las_cruces,elaphoglossum_decursivum,2,3,3,3,0.159,40
las_cruces,elaphoglossum_decursivum,3,1,1,1,0.159,40
las_cruces,elaphoglossum_decursivum,3,1,2,2,0.159,40
las_cruces,elaphoglossum_decursivum,3,1,3,2,0.159,40
las_cruces,elaphoglossum_decursivum,3,2,1,4,0.159,40
las_cruces,elaphoglossum_decursivum,3,2,2,1,0.159,40
las_cruces,elaphoglossum_decursivum,3,2,3,6,0.159,40
las_cruces,elaphoglossum_decursivum,3,3,1,4,0.159,40
las_cruces,elaphoglossum_decursivum,3,3,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,3,3,3,4,0.159,40
las_cruces,elaphoglossum_decursivum,4,1,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,4,1,2,1,0.159,40
las_cruces,elaphoglossum_decursivum,4,1,3,4,0.159,40
las_cruces,elaphoglossum_decursivum,4,2,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,4,2,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,4,2,3,2,0.159,40
las_cruces,elaphoglossum_decursivum,4,3,1,4,0.159,40
las_cruces,elaphoglossum_decursivum,4,3,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,4,3,3,4,0.159,40
las_cruces,elaphoglossum_decursivum,5,1,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,5,1,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,5,1,3,1,0.159,40
las_cruces,elaphoglossum_decursivum,5,2,1,3,0.159,40
las_cruces,elaphoglossum_decursivum,5,2,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,5,2,3,1,0.159,40
las_cruces,elaphoglossum_decursivum,5,3,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,5,3,2,2,0.159,40
las_cruces,elaphoglossum_decursivum,5,3,3,3,0.159,40
las_cruces,elaphoglossum_decursivum,6,1,1,2,0.159,40
las_cruces,elaphoglossum_decursivum,6,1,2,3,0.159,40
las_cruces,elaphoglossum_decursivum,6,1,3,1,0.159,40
las_cruces,elaphoglossum_decursivum,6,2,1,1,0.159,40
las_cruces,elaphoglossum_decursivum,6,2,2,2,0.159,40
las_cruces,elaphoglossum_decursivum,6,2,3,3,0.159,40
las_cruces,elaphoglossum_decursivum,6,3,1,5,0.159,40
las_cruces,elaphoglossum_decursivum,6,3,2,2,0.159,40
las_cruces,elaphoglossum_decursivum,6,3,3,4,0.159,40
las_cruces,olfersia_cervina,1,1,1,18,0.159,40
las_cruces,olfersia_cervina,1,1,2,16,0.159,40
las_cruces,olfersia_cervina,1,1,3,15,0.159,40
las_cruces,olfersia_cervina,1,2,1,13,0.159,40
las_cruces,olfersia_cervina,1,2,2,18,0.159,40
las_cruces,olfersia_cervina,1,2,3,16,0.159,40
las_cruces,olfersia_cervina,1,3,1,13,0.159,40
las_cruces,olfersia_cervina,1,3,2,13,0.159,40
las_cruces,olfersia_cervina,1,3,3,14,0.159,40
las_cruces,olfersia_cervina,2,1,1,15,0.159,40
las_cruces,olfersia_cervina,2,1,2,18,0.159,40
las_cruces,olfersia_cervina,2,1,3,19,0.159,40
las_cruces,olfersia_cervina,2,2,1,15,0.159,40
las_cruces,olfersia_cervina,2,2,2,14,0.159,40
las_cruces,olfersia_cervina,2,2,3,20,0.159,40
las_cruces,olfersia_cervina,2,3,1,17,0.159,40
las_cruces,olfersia_cervina,2,3,2,14,0.159,40
las_cruces,olfersia_cervina,2,3,3,16,0.159,40
las_cruces,olfersia_cervina,3,1,1,18,0.159,40
las_cruces,olfersia_cervina,3,1,2,14,0.159,40
las_cruces,olfersia_cervina,3,1,3,17,0.159,40
las_cruces,olfersia_cervina,3,2,1,12,0.159,40
las_cruces,olfersia_cervina,3,2,2,14,0.159,40
las_cruces,olfersia_cervina,3,2,3,16,0.159,40
las_cruces,olfersia_cervina,3,3,1,14,0.159,40
las_cruces,olfersia_cervina,3,3,2,14,0.159,40
las_cruces,olfersia_cervina,3,3,3,10,0.159,40
las_cruces,olfersia_cervina,4,1,1,12,0.159,40
las_cruces,olfersia_cervina,4,1,2,13,0.159,40
las_cruces,olfersia_cervina,4,1,3,13,0.159,40
las_cruces,olfersia_cervina,4,2,1,10,0.159,40
las_cruces,olfersia_cervina,4,2,2,15,0.159,40
las_cruces,olfersia_cervina,4,2,3,12,0.159,40
las_cruces,olfersia_cervina,4,3,1,16,0.159,40
las_cruces,olfersia_cervina,4,3,2,10,0.159,40
las_cruces,olfersia_cervina,4,3,3,11,0.159,40
las_cruces,olfersia_cervina,5,1,1,10,0.159,40
las_cruces,olfersia_cervina,5,1,2,13,0.159,40
las_cruces,olfersia_cervina,5,1,3,13,0.159,40
las_cruces,olfersia_cervina,5,2,1,13,0.159,40
las_cruces,olfersia_cervina,5,2,2,15,0.159,40
las_cruces,olfersia_cervina,5,2,3,8,0.159,40
las_cruces,olfersia_cervina,5,3,1,16,0.159,40
las_cruces,olfersia_cervina,5,3,2,15,0.159,40
las_cruces,olfersia_cervina,5,3,3,11,0.159,40
las_cruces,olfersia_cervina,6,1,1,11,0.159,40
las_cruces,olfersia_cervina,6,1,2,9,0.159,40
las_cruces,olfersia_cervina,6,1,3,15,0.159,40
las_cruces,olfersia_cervina,6,2,1,6,0.159,40
las_cruces,olfersia_cervina,6,2,2,13,0.159,40
las_cruces,olfersia_cervina,6,2,3,7,0.159,40
las_cruces,olfersia_cervina,6,3,1,13,0.159,40
las_cruces,olfersia_cervina,6,3,2,12,0.159,40
las_cruces,olfersia_cervina,6,3,3,8,0.159,40
las_cruces,blechnum_schiedeanum,1,1,1,13,0.159,40
las_cruces,blechnum_schiedeanum,1,1,2,13,0.159,40
las_cruces,blechnum_schiedeanum,1,1,3,16,0.159,40
las_cruces,blechnum_schiedeanum,1,2,1,13,0.159,40
las_cruces,blechnum_schiedeanum,1,2,2,15,0.159,40
las_cruces,blechnum_schiedeanum,1,2,3,13,0.159,40
las_cruces,blechnum_schiedeanum,1,3,1,14,0.159,40
las_cruces,blechnum_schiedeanum,1,3,2,14,0.159,40
las_cruces,blechnum_schiedeanum,1,3,3,16,0.159,40
las_cruces,blechnum_schiedeanum,2,1,1,15,0.159,40
las_cruces,blechnum_schiedeanum,2,1,2,13,0.159,40
las_cruces,blechnum_schiedeanum,2,1,3,12,0.159,40
las_cruces,blechnum_schiedeanum,2,2,1,17,0.159,40
las_cruces,blechnum_schiedeanum,2,2,2,16,0.159,40
las_cruces,blechnum_schiedeanum,2,2,3,12,0.159,40
las_cruces,blechnum_schiedeanum,2,3,1,15,0.159,40
las_cruces,blechnum_schiedeanum,2,3,2,17,0.159,40
las_cruces,blechnum_schiedeanum,2,3,3,16,0.159,40
las_cruces,blechnum_schiedeanum,3,1,1,15,0.159,40
las_cruces,blechnum_schiedeanum,3,1,2,15,0.159,40
las_cruces,blechnum_schiedeanum,3,1,3,21,0.159,40
las_cruces,blechnum_schiedeanum,3,2,1,18,0.159,40
las_cruces,blechnum_schiedeanum,3,2,2,16,0.159,40
las_cruces,blechnum_schiedeanum,3,2,3,19,0.159,40
las_cruces,blechnum_schiedeanum,3,3,1,23,0.159,40
las_cruces,blechnum_schiedeanum,3,3,2,18,0.159,40
las_cruces,blechnum_schiedeanum,3,3,3,15,0.159,40
las_cruces,blechnum_schiedeanum,4,1,1,12,0.159,40
las_cruces,blechnum_schiedeanum,4,1,2,13,0.159,40
las_cruces,blechnum_schiedeanum,4,1,3,15,0.159,40
las_cruces,blechnum_schiedeanum,4,2,1,13,0.159,40
las_cruces,blechnum_schiedeanum,4,2,2,17,0.159,40
las_cruces,blechnum_schiedeanum,4,2,3,16,0.159,40
las_cruces,blechnum_schiedeanum,4,3,1,14,0.159,40
las_cruces,blechnum_schiedeanum,4,3,2,14,0.159,40
las_cruces,blechnum_schiedeanum,4,3,3,14,0.159,40
las_cruces,blechnum_schiedeanum,5,1,1,15,0.159,40
las_cruces,blechnum_schiedeanum,5,1,2,13,0.159,40
las_cruces,blechnum_schiedeanum,5,1,3,13,0.159,40
las_cruces,blechnum_schiedeanum,5,2,1,14,0.159,40
las_cruces,blechnum_schiedeanum,5,2,2,13,0.159,40
las_cruces,blechnum_schiedeanum,5,2,3,14,0.159,40
las_cruces,blechnum_schiedeanum,5,3,1,11,0.159,40
las_cruces,blechnum_schiedeanum,5,3,2,12,0.159,40
las_cruces,blechnum_schiedeanum,5,3,3,10,0.159,40
las_cruces,blechnum_schiedeanum,6,1,1,18,0.159,40
las_cruces,blechnum_schiedeanum,6,1,2,14,0.159,40
las_cruces,blechnum_schiedeanum,6,1,3,12,0.159,40
las_cruces,blechnum_schiedeanum,6,2,1,8,0.159,40
las_cruces,blechnum_schiedeanum,6,2,2,10,0.159,40
las_cruces,blechnum_schiedeanum,6,2,3,11,0.159,40
las_cruces,blechnum_schiedeanum,6,3,1,14,0.159,40
las_cruces,blechnum_schiedeanum,6,3,2,14,0.159,40
las_cruces,blechnum_schiedeanum,6,3,3,11,0.159,40
las_cruces,lomariopsis_maxonii,1,1,1,6,0.159,40
las_cruces,lomariopsis_maxonii,1,1,2,7,0.159,40
las_cruces,lomariopsis_maxonii,1,1,3,8,0.159,40
las_cruces,lomariopsis_maxonii,1,2,1,7,0.159,40
las_cruces,lomariopsis_maxonii,1,2,2,8,0.159,40
las_cruces,lomariopsis_maxonii,1,2,3,8,0.159,40
las_cruces,lomariopsis_maxonii,1,3,1,9,0.159,40
las_cruces,lomariopsis_maxonii,1,3,2,8,0.159,40
las_cruces,lomariopsis_maxonii,1,3,3,9,0.159,40
las_cruces,lomariopsis_maxonii,2,1,1,6,0.159,40
las_cruces,lomariopsis_maxonii,2,1,2,6,0.159,40
las_cruces,lomariopsis_maxonii,2,1,3,8,0.159,40
las_cruces,lomariopsis_maxonii,2,2,1,6,0.159,40
las_cruces,lomariopsis_maxonii,2,2,2,5,0.159,40
las_cruces,lomariopsis_maxonii,2,2,3,6,0.159,40
las_cruces,lomariopsis_maxonii,2,3,1,4,0.159,40
las_cruces,lomariopsis_maxonii,2,3,2,5,0.159,40
las_cruces,lomariopsis_maxonii,2,3,3,5,0.159,40
las_cruces,lomariopsis_maxonii,3,1,1,5,0.159,40
las_cruces,lomariopsis_maxonii,3,1,2,8,0.159,40
las_cruces,lomariopsis_maxonii,3,1,3,7,0.159,40
las_cruces,lomariopsis_maxonii,3,2,1,7,0.159,40
las_cruces,lomariopsis_maxonii,3,2,2,7,0.159,40
las_cruces,lomariopsis_maxonii,3,2,3,4,0.159,40
las_cruces,lomariopsis_maxonii,3,3,1,6,0.159,40
las_cruces,lomariopsis_maxonii,3,3,2,5,0.159,40
las_cruces,lomariopsis_maxonii,3,3,3,6,0.159,40
las_cruces,lomariopsis_maxonii,4,1,1,11,0.159,40
las_cruces,lomariopsis_maxonii,4,1,2,10,0.159,40
las_cruces,lomariopsis_maxonii,4,1,3,9,0.159,40
las_cruces,lomariopsis_maxonii,4,2,1,11,0.159,40
las_cruces,lomariopsis_maxonii,4,2,2,9,0.159,40
las_cruces,lomariopsis_maxonii,4,2,3,9,0.159,40
las_cruces,lomariopsis_maxonii,4,3,1,10,0.159,40
las_cruces,lomariopsis_maxonii,4,3,2,7,0.159,40
las_cruces,lomariopsis_maxonii,4,3,3,11,0.159,40
las_cruces,lomariopsis_maxonii,5,1,1,6,0.159,40
las_cruces,lomariopsis_maxonii,5,1,2,6,0.159,40
las_cruces,lomariopsis_maxonii,5,1,3,7,0.159,40
las_cruces,lomariopsis_maxonii,5,2,1,7,0.159,40
las_cruces,lomariopsis_maxonii,5,2,2,6,0.159,40
las_cruces,lomariopsis_maxonii,5,2,3,5,0.159,40
las_cruces,lomariopsis_maxonii,5,3,1,5,0.159,40
las_cruces,lomariopsis_maxonii,5,3,2,7,0.159,40
las_cruces,lomariopsis_maxonii,5,3,3,6,0.159,40
las_cruces,lomariopsis_maxonii,6,1,1,8,0.159,40
las_cruces,lomariopsis_maxonii,6,1,2,5,0.159,40
las_cruces,lomariopsis_maxonii,6,1,3,7,0.159,40
las_cruces,lomariopsis_maxonii,6,2,1,8,0.159,40
las_cruces,lomariopsis_maxonii,6,2,2,7,0.159,40
las_cruces,lomariopsis_maxonii,6,2,3,6,0.159,40
las_cruces,lomariopsis_maxonii,6,3,1,8,0.159,40
las_cruces,lomariopsis_maxonii,6,3,2,5,0.159,40
las_cruces,lomariopsis_maxonii,6,3,3,6,0.159,40
las_cruces,oleandra_costaricensis,1,1,1,14,0.159,40
las_cruces,oleandra_costaricensis,1,1,2,16,0.159,40
las_cruces,oleandra_costaricensis,1,1,3,13,0.159,40
las_cruces,oleandra_costaricensis,1,2,1,14,0.159,40
las_cruces,oleandra_costaricensis,1,2,2,14,0.159,40
las_cruces,oleandra_costaricensis,1,2,3,15,0.159,40
las_cruces,oleandra_costaricensis,1,3,1,13,0.159,40
las_cruces,oleandra_costaricensis,1,3,2,14,0.159,40
las_cruces,oleandra_costaricensis,1,3,3,15,0.159,40
las_cruces,oleandra_costaricensis,2,1,1,15,0.159,40
las_cruces,oleandra_costaricensis,2,1,2,10,0.159,40
las_cruces,oleandra_costaricensis,2,1,3,15,0.159,40
las_cruces,oleandra_costaricensis,2,2,1,15,0.159,40
las_cruces,oleandra_costaricensis,2,2,2,17,0.159,40
las_cruces,oleandra_costaricensis,2,2,3,15,0.159,40
las_cruces,oleandra_costaricensis,2,3,1,14,0.159,40
las_cruces,oleandra_costaricensis,2,3,2,12,0.159,40
las_cruces,oleandra_costaricensis,2,3,3,14,0.159,40
las_cruces,oleandra_costaricensis,3,1,1,16,0.159,40
las_cruces,oleandra_costaricensis,3,1,2,16,0.159,40
las_cruces,oleandra_costaricensis,3,1,3,22,0.159,40
las_cruces,oleandra_costaricensis,3,2,1,16,0.159,40
las_cruces,oleandra_costaricensis,3,2,2,12,0.159,40
las_cruces,oleandra_costaricensis,3,2,3,16,0.159,40
las_cruces,oleandra_costaricensis,3,3,1,16,0.159,40
las_cruces,oleandra_costaricensis,3,3,2,16,0.159,40
las_cruces,oleandra_costaricensis,3,3,3,18,0.159,40
las_cruces,oleandra_costaricensis,4,1,1,19,0.159,40
las_cruces,oleandra_costaricensis,4,1,2,17,0.159,40
las_cruces,oleandra_costaricensis,4,1,3,18,0.159,40
las_cruces,oleandra_costaricensis,4,2,1,15,0.159,40
las_cruces,oleandra_costaricensis,4,2,2,19,0.159,40
las_cruces,oleandra_costaricensis,4,2,3,21,0.159,40
las_cruces,oleandra_costaricensis,4,3,1,23,0.159,40
las_cruces,oleandra_costaricensis,4,3,2,21,0.159,40
las_cruces,oleandra_costaricensis,4,3,3,17,0.159,40
las_cruces,oleandra_costaricensis,5,1,1,12,0.159,40
las_cruces,oleandra_costaricensis,5,1,2,15,0.159,40
las_cruces,oleandra_costaricensis,5,1,3,15,0.159,40
las_cruces,oleandra_costaricensis,5,2,1,19,0.159,40
las_cruces,oleandra_costaricensis,5,2,2,16,0.159,40
las_cruces,oleandra_costaricensis,5,2,3,14,0.159,40
las_cruces,oleandra_costaricensis,5,3,1,20,0.159,40
las_cruces,oleandra_costaricensis,5,3,2,12,0.159,40
las_cruces,oleandra_costaricensis,5,3,3,15,0.159,40
las_cruces,oleandra_costaricensis,6,1,1,15,0.159,40
las_cruces,oleandra_costaricensis,6,1,2,14,0.159,40
las_cruces,oleandra_costaricensis,6,1,3,17,0.159,40
las_cruces,oleandra_costaricensis,6,2,1,8,0.159,40
las_cruces,oleandra_costaricensis,6,2,2,11,0.159,40
las_cruces,oleandra_costaricensis,6,2,3,9,0.159,40
las_cruces,oleandra_costaricensis,6,3,1,10,0.159,40
las_cruces,oleandra_costaricensis,6,3,2,12,0.159,40
las_cruces,oleandra_costaricensis,6,3,3,15,0.159,40
