"site","species","plant_no","dry_mass_g","sla_cm2g","niche","genusspecies","group","niche2"
"la_selva","thelypteris_dentata","4",0.0052,96.1538461538462,"terrestrial","theden","E2","terrestrial"
"la_selva","thelypteris_dentata","2",0.0094,53.1914893617021,"terrestrial","theden","E2","terrestrial"
"la_selva","thelypteris_dentata","3",0.0085,58.8235294117647,"terrestrial","theden","E2","terrestrial"
"la_selva","thelypteris_nicaraguensis","1",0.0067,74.6268656716418,"terrestrial","thenic","E2","terrestrial"
"la_selva","thelypteris_nicaraguensis","2",0.0052,96.1538461538462,"terrestrial","thenic","E2","terrestrial"
"la_selva","thelypteris_nicaraguensis","4",0.0046,119.565217391304,"terrestrial","thenic","E2","terrestrial"
"la_selva","thelypteris_nicaraguensis","6",0.0053,94.3396226415094,"terrestrial","thenic","E2","terrestrial"
"la_selva","thelypteris_nicaraguensis","3",0.0069,72.463768115942,"terrestrial","thenic","E2","terrestrial"
"la_selva","thelypteris_nicaraguensis","5",0.0074,67.5675675675676,"terrestrial","thenic","E2","terrestrial"
"las_cruces","asplenium_uniseriale","6",0.03,62.3333333333333,"terrestrial","aspuni","E2","terrestrial"
"las_cruces","asplenium_uniseriale","1",0.027,79.6296296296296,"terrestrial","aspuni","E2","terrestrial"
"las_cruces","asplenium_uniseriale","3",0.045,51.5555555555556,"terrestrial","aspuni","E2","terrestrial"
"las_cruces","asplenium_uniseriale","2",0.036,71.6666666666667,"terrestrial","aspuni","E2","terrestrial"
"las_cruces","asplenium_uniseriale","5",0.036,53.6111111111111,"terrestrial","aspuni","E2","terrestrial"
"las_cruces","asplenium_uniseriale","4",0.013,106.153846153846,"terrestrial","aspuni","E2","terrestrial"
"las_cruces","blechnum_schiedeanum","6",0.011,36.3636363636364,"terrestrial","blesch","E2","terrestrial"
"las_cruces","blechnum_schiedeanum","3",0.0107,37.3831775700935,"terrestrial","blesch","E2","terrestrial"
"las_cruces","blechnum_schiedeanum","5",0.0104,38.4615384615385,"terrestrial","blesch","E2","terrestrial"
"las_cruces","blechnum_schiedeanum","4",0.0081,49.3827160493827,"terrestrial","blesch","E2","terrestrial"
