"sample_id","genusspecies","individual","K","MPa","curve_id","perc_loss_k","PLC"
"olfcer_6_0.50","olfcer",6,7.13120407595526,0.5,"olfcer-6",1.6563696130959,165.63696130959
"olfcer_6_1.00","olfcer",6,5.31443841584608,1,"olfcer-6",1.23438821956555,123.438821956555
"olfcer_6_1.50","olfcer",6,6.09304811085996,1.5,"olfcer-6",1.41523642213365,141.523642213365
"olfcer_6_2.00","olfcer",6,2.04874211489273,2,"olfcer-6",0.475862722204256,47.5862722204256
"olfcer_6_2.50","olfcer",6,0.208575267421235,2.5,"olfcer-6",0.048445918994908,4.8445918994908
"olfcer_7_0.00","olfcer",7,6.8058805355797,0,"olfcer-7",1,100
"olfcer_7_0.50","olfcer",7,2.92322776182523,0.5,"olfcer-7",0.429514997588219,42.9514997588219
"olfcer_7_1.00","olfcer",7,2.45606635323796,1,"olfcer-7",0.360874149993989,36.0874149993989
"olfcer_7_1.50","olfcer",7,0.864479695812027,1.5,"olfcer-7",0.127019522498626,12.7019522498626
"olfcer_7_2.00","olfcer",7,0.0594870159253421,2,"olfcer-7",0.00874053189948847,0.874053189948847
"parexc_1_0.00","parexc",1,1.2845301581986,0,"parexc-1",1,100
"parexc_1_0.50","parexc",1,0.582501896192669,0.5,"parexc-1",0.453474675136905,45.3474675136905
"parexc_1_1.00","parexc",1,0.590757116665647,1,"parexc-1",0.459901321035632,45.9901321035632
"parexc_1_1.50","parexc",1,0.45795815496938,1.5,"parexc-1",0.356518024934199,35.6518024934199
"parexc_1_2.00","parexc",1,0.629950228336342,2,"parexc-1",0.490412953184198,49.0412953184198
"parexc_10_0.00","parexc",10,1.03466768916603,0,"parexc-10",1,100
"parexc_10_0.50","parexc",10,0.690845301551787,0.5,"parexc-10",0.667697763045668,66.7697763045668
"parexc_10_1.00","parexc",10,0.668639743947428,1,"parexc-10",0.646236227291847,64.6236227291847
"parexc_10_1.50","parexc",10,0.321107081494995,1.5,"parexc-10",0.310348032375319,31.0348032375319
"parexc_10_2.00","parexc",10,0.0809113900899546,2,"parexc-10",0.0782003641721638,7.82003641721638
"parexc_2_0.00","parexc",2,2.57296269968982,0,"parexc-2",1,100
"parexc_2_0.50","parexc",2,1.22042559488387,0.5,"parexc-2",0.474326967519196,47.4326967519196
"parexc_2_1.00","parexc",2,0.911495060944625,1,"parexc-2",0.35425894866432,35.425894866432
"parexc_2_1.50","parexc",2,0.331994091389687,1.5,"parexc-2",0.129031832225827,12.9031832225827
"parexc_2_2.00","parexc",2,0.477583092207847,2,"parexc-2",0.18561601855535,18.561601855535
"parexc_4_0.00","parexc",4,2.43042866740156,0,"parexc-4",1,100
"parexc_4_0.50","parexc",4,1.88455708299417,0.5,"parexc-4",0.775401108566171,77.5401108566171
"parexc_4_1.00","parexc",4,1.62334763014794,1,"parexc-4",0.66792646578001,66.792646578001
"parexc_4_1.50","parexc",4,1.09729729839876,1.5,"parexc-4",0.451483029770181,45.1483029770181
"parexc_4_2.00","parexc",4,0.495110497298194,2,"parexc-4",0.203713239536271,20.3713239536271
"parexc_4_2.50","parexc",4,0.262844093638153,2.5,"parexc-4",0.108147215823934,10.8147215823934
"parexc_6_0.00","parexc",6,2.04254944676477,0,"parexc-6",1,100
"parexc_6_0.50","parexc",6,1.2102519549017,0.5,"parexc-6",0.592520272553814,59.2520272553814
"parexc_6_1.00","parexc",6,1.18261043516095,1,"parexc-6",0.57898742037022,57.898742037022
"parexc_6_1.50","parexc",6,0.755203516974156,1.5,"parexc-6",0.369735733042025,36.9735733042025
"parexc_6_2.00","parexc",6,0.0970817402887695,2,"parexc-6",0.047529689155158,4.7529689155158
"parexc_6_2.50","parexc",6,0.0676128940946531,2.5,"parexc-6",0.0331022067552618,3.31022067552618
"parexc_8_0.00","parexc",8,0.903643630695643,0,"parexc-8",1,100
"parexc_8_0.50","parexc",8,0.736879859642695,0.5,"parexc-8",0.815454051366942,81.5454051366942
"parexc_8_1.00","parexc",8,0.32747250907909,1,"parexc-8",0.362391210379025,36.2391210379025
