sample_id,genusspecies,individual,K,MPa,perc_loss_k,PLC
parexc_1_1.00,parexc,1,0.632,1,0.542228919,54.22289194
parexc_1_1.50,parexc,1,0.496,1.5,0.640917445,64.09174453
parexc_1_2.00,parexc,1,0.681,2,0.507107077,50.71070767
parexc_2_0.00,parexc,2,2.772,0,0,0
parexc_2_0.50,parexc,2,1.301,0.5,0.53056596,53.05659598
parexc_2_1.00,parexc,2,0.978,1,0.647101717,64.71017175
parexc_2_1.50,parexc,2,0.327,1.5,0.881931024,88.19310235
parexc_2_2.00,parexc,2,0.514,2,0.814704963,81.4704963
parexc_4_0.00,parexc,4,2.577,0,0,0
parexc_4_0.50,parexc,4,2.017,0.5,0.217525397,21.7525397
parexc_4_1.00,parexc,4,1.749,1,0.321302285,32.13022849
parexc_4_1.50,parexc,4,1.178,1.5,0.543008698,54.30086982
parexc_4_2.00,parexc,4,0.53,2,0.794234408,79.4234408
parexc_4_2.50,parexc,4,0.29,2.5,0.887527261,88.75272609
parexc_6_0.00,parexc,6,2.174,0,0,0
parexc_6_0.50,parexc,6,1.292,0.5,0.405614966,40.5614966
parexc_6_1.00,parexc,6,1.185,1,0.45497395,45.497395
parexc_6_1.50,parexc,6,0.815,1.5,0.625204363,62.52043634
parexc_6_2.00,parexc,6,0.104,2,0.952321587,95.2321587
parexc_6_2.50,parexc,6,0.072,2.5,0.967092615,96.70926147
parexc_8_0.00,parexc,8,0.979,0,0,0
parexc_8_0.50,parexc,8,0.794,0.5,0.189393685,18.93936854
parexc_8_1.00,parexc,8,0.356,1,0.63634146,63.63414601
parexc_8_1.50,parexc,8,0.39,1.5,0.60193254,60.19325403
parexc_8_2.00,parexc,8,0.182,2,0.813726319,81.37263194
parexc_8_2.50,parexc,8,0.046,2.5,0.952838196,95.2838196
parexc_9_0.00,parexc,9,3.656,0,0,0
parexc_9_0.50,parexc,9,2.809,0.5,0.231603989,23.16039892
parexc_9_1.00,parexc,9,2.03,1,0.444740204,44.47402039
parexc_9_1.50,parexc,9,1.128,1.5,0.691374989,69.13749886
parexc_9_2.00,parexc,9,0.7,2,0.808619894,80.86198939
parexc_9_2.50,parexc,9,0.139,2.5,0.961947668,96.19476679
parexc_10_0.00,parexc,10,1.109,0,0,0
parexc_10_0.50,parexc,10,0.74,0.5,0.332024402,33.20244017
parexc_10_1.00,parexc,10,0.713,1,0.356444191,35.6444191
parexc_10_1.50,parexc,10,0.355,1.5,0.679549667,67.95496669
parexc_10_2.00,parexc,10,0.086,2,0.922058052,92.20580516
sertri_1_0.00,sertri,1,8.229,0,0,0
sertri_1_0.50,sertri,1,6.403,0.5,0.221960351,22.19603513
sertri_1_1.00,sertri,1,4.59,1,0.283158224,28.3158224
sertri_1_1.50,sertri,1,0.86,1.5,0.812536,81.25360003
sertri_1_2.00,sertri,1,0.341,2,0.603919532,60.3919532
sertri_2_0.00,sertri,2,4.504,0,0,0
sertri_2_0.50,sertri,2,3.901,0.5,0.133870834,13.38708336
sertri_2_1.00,sertri,2,2.655,1,0.410628317,41.06283174
sertri_2_1.50,sertri,2,1.282,1.5,0.71536226,71.53622604
sertri_2_2.00,sertri,2,0.547,2,0.878530912,87.85309118
sertri_3_0.00,sertri,3,6.194,0,0,0
sertri_3_0.50,sertri,3,5.181,0.5,0.163560485,16.35604854
sertri_3_1.00,sertri,3,3.753,1,0.39410401,39.41040099
sertri_3_1.50,sertri,3,2.028,1.5,0.672633322,67.26333217
sertri_3_2.00,sertri,3,0.583,2,0.905883432,90.58834318
sertri_3_2.50,sertri,3,0.139,2.5,0.97763722,97.76372201
sertri_4_0.00,sertri,4,5.273,0,0,0
sertri_4_0.50,sertri,4,4.84,0.5,0.082167053,8.216705311
sertri_4_1.00,sertri,4,4.45,1,0.156173143,15.6173143
sertri_4_1.50,sertri,4,4.054,1.5,0.231188609,23.11886088
sertri_4_2.00,sertri,4,1.207,2,0.771037704,77.10377038
sertri_4_2.50,sertri,4,0.269,2.5,0.948892838,94.88928378
sertri_5_0.00,sertri,5,4.202,0,0,0
sertri_5_0.50,sertri,5,3.857,0.5,0.082060165,8.206016501
sertri_5_1.00,sertri,5,3.49,1,0.169361632,16.93616321
sertri_5_1.50,sertri,5,0.98,1.5,0.766682366,76.66823661
sertri_5_2.00,sertri,5,0.09,2,0.978580072,97.85800724
sertri_5_2.50,sertri,5,0.101,2.5,0.975965201,97.59652008
sertri_6_0.00,sertri,6,2.593,0,0,0
sertri_6_0.50,sertri,6,2.359,0.5,0.090206454,9.020645433
sertri_6_1.00,sertri,6,2.191,1,0.154907729,15.49077294
sertri_6_1.50,sertri,6,1.899,1.5,0.2676912,26.76911997
sertri_6_2.00,sertri,6,0.538,2,0.79247382,79.24738203
sertri_6_2.50,sertri,6,0.124,2.5,0.952122201,95.21222013
serfra_1_0.00,serfra,1,1.318,0,0,0
serfra_1_0.50,serfra,1,1.097,0.5,0.167923867,16.79238672
serfra_1_1.00,serfra,1,1.147,1,0.12997979,12.99797895
serfra_1_1.50,serfra,1,1.047,1.5,0.205797808,20.57978078
serfra_1_2.00,serfra,1,0.561,2,0.574389774,57.43897741
serfra_1_2.50,serfra,1,0.685,2.5,0.479929469,47.99294687
serfra_1_3.00,serfra,1,0.051,3,0.961053645,96.10536454
serfra_2_0.00,serfra,2,1.044,0,0,0
serfra_2_0.50,serfra,2,1.009,0.5,0.033885133,3.388513264
serfra_2_1.00,serfra,2,1.046,1,-0.002037725,-0.203772506
serfra_2_1.50,serfra,2,0.479,1.5,0.541037577,54.10375771
serfra_2_2.00,serfra,2,0.186,2,0.822107451,82.21074506
serfra_2_2.50,serfra,2,0.016,2.5,0.984654721,98.46547212
serfra_2_3.00,serfra,2,0,3,1,100
serfra_3_0.00,serfra,3,1.253,0,0,0
serfra_3_0.50,serfra,3,1.235,0.5,0.014674788,1.467478781
serfra_3_1.00,serfra,3,1.184,1,0.054932357,5.493235731
serfra_3_1.50,serfra,3,1.064,1.5,0.151079474,15.10794736
serfra_3_2.00,serfra,3,0.351,2,0.719513126,71.9513126
serfra_3_2.50,serfra,3,0.208,2.5,0.834064713,83.4064713
