"species","plant_no","niche2","guardcell_length_um","average_guardcell_width_um","stomatal_size"
"lomariopsis_japurensis","5","hemi-epiphyte",0.0504444444444444,0.0142222222222222,0.00144066666666667
"lomariopsis_japurensis","6","hemi-epiphyte",0.0555555555555556,0.013,0.00144311111111111
"lomariopsis_maxonii","1","hemi-epiphyte",0.0455,0.01325,0.001215
"lomariopsis_maxonii","2","hemi-epiphyte",0.0493333333333333,0.0156666666666667,0.00154733333333333
"lomariopsis_maxonii","3","hemi-epiphyte",0.0495,0.0155,0.001532
"lomariopsis_maxonii","4","hemi-epiphyte",0.048125,0.01475,0.00141875
"lomariopsis_maxonii","5","hemi-epiphyte",0.054425,0.0129,0.00140306
"lomariopsis_maxonii","6","hemi-epiphyte",0.049325,0.0115125,0.001139945
"mickelia_nicotianifolia","1","hemi-epiphyte",0.0652222222222222,0.0137777777777778,0.00178511111111111
"mickelia_nicotianifolia","2","hemi-epiphyte",0.0725555555555556,0.0154444444444444,0.00223977777777778
"mickelia_nicotianifolia","3","hemi-epiphyte",0.0661111111111111,0.0148888888888889,0.00197511111111111
"mickelia_nicotianifolia","4","hemi-epiphyte",0.0697777777777778,0.0152222222222222,0.00212555555555556
"mickelia_nicotianifolia","5","hemi-epiphyte",0.0637777777777778,0.0151111111111111,0.00192755555555556
"mickelia_nicotianifolia","6","hemi-epiphyte",0.0604444444444444,0.0135555555555556,0.00164111111111111
"nephrolepis_biserrata","1","terrestrial",0.0455571428571429,0.0115857142857143,0.00105622285714286
"nephrolepis_biserrata","2","terrestrial",0.0379666666666667,0.0104,0.00079008
"nephrolepis_biserrata","3","terrestrial",0.0452166666666667,0.0112666666666667,0.00101448
"nephrolepis_biserrata","4","terrestrial",0.040925,0.01085,0.000885085
"nephrolepis_biserrata","5","terrestrial",0.0454,0.00906666666666667,0.000822033333333333
"nephrolepis_biserrata","6","terrestrial",0.040075,0.010925,0.000880635
"nephrolepis_brownii","1","terrestrial",0.0430875,0.01025,0.0008802075
"nephrolepis_brownii","2","terrestrial",0.04315,0.0092125,0.0007955575
"nephrolepis_brownii","3","terrestrial",0.0461875,0.009725,0.0009011675
"nephrolepis_brownii","4","terrestrial",0.04805,0.009375,0.00090061
"nephrolepis_brownii","5","terrestrial",0.04825,0.010375,0.0010022125
"nephrolepis_brownii","6","terrestrial",0.048175,0.01035,0.0009923
"nephrolepis_rivularis","1","terrestrial",0.0626555555555555,0.0144555555555556,0.00181311555555556
"nephrolepis_rivularis","2","terrestrial",0.0806875,0.015225,0.002445605
"nephrolepis_rivularis","3","terrestrial",0.064,0.0145,0.00185645
"nephrolepis_rivularis","4","terrestrial",0.05713875,0.0143125,0.00167158925
"nephrolepis_rivularis","5","terrestrial",0.0633625,0.0154875,0.00197095
"nephrolepis_rivularis","6","terrestrial",0.0607125,0.014525,0.0017636525
"niphidium_crassifolium","1","epiphyte",0.0485375,0.0121125,0.001175445
