"genusspecies","site","plant_no","water_potential","species","niche","group","niche2"
"plebra","la_selva",3,NA,"pleopeltis_bradeorum","hemi-epiphyte","E1","hemi-epiphyte"
"plebra","la_selva",4,NA,"pleopeltis_bradeorum","hemi-epiphyte","E1","hemi-epiphyte"
"plebra","la_selva",5,NA,"pleopeltis_bradeorum","hemi-epiphyte","E1","hemi-epiphyte"
"plebra","la_selva",6,NA,"pleopeltis_bradeorum","hemi-epiphyte","E1","hemi-epiphyte"
"polosm","la_selva",1,1.35,"polybotrya_osmundacea","climber","E1","hemi-epiphyte"
"polosm","la_selva",2,1.05,"polybotrya_osmundacea","climber","E1","hemi-epiphyte"
"polosm","la_selva",3,1,"polybotrya_osmundacea","climber","E1","hemi-epiphyte"
"polosm","la_selva",4,1.23,"polybotrya_osmundacea","climber","E1","hemi-epiphyte"
"polosm","la_selva",5,0.9,"polybotrya_osmundacea","climber","E1","hemi-epiphyte"
"polosm","la_selva",6,0.39,"polybotrya_osmundacea","climber","E1","hemi-epiphyte"
"salvol","la_selva",1,0.52,"salpichlaena_volubilis","terrestrial","E2","terrestrial"
"salvol","la_selva",2,0.5,"salpichlaena_volubilis","terrestrial","E2","terrestrial"
"salvol","la_selva",3,0.4,"salpichlaena_volubilis","terrestrial","E2","terrestrial"
"salvol","la_selva",4,0.54,"salpichlaena_volubilis","terrestrial","E2","terrestrial"
"salvol","la_selva",5,0.53,"salpichlaena_volubilis","terrestrial","E2","terrestrial"
"salvol","la_selva",6,0.62,"salpichlaena_volubilis","terrestrial","E2","terrestrial"
"serfra","las_cruces",1,0.2,"serpocaulon_fraxinifolium","epiphyte","E1","epiphyte"
"serfra","las_cruces",2,0.22,"serpocaulon_fraxinifolium","epiphyte","E1","epiphyte"
"serfra","las_cruces",3,0.43,"serpocaulon_fraxinifolium","epiphyte","E1","epiphyte"
"serfra","las_cruces",4,0.47,"serpocaulon_fraxinifolium","epiphyte","E1","epiphyte"
"serfra","las_cruces",5,0.83,"serpocaulon_fraxinifolium","epiphyte","E1","epiphyte"
"serfra","las_cruces",6,0.49,"serpocaulon_fraxinifolium","epiphyte","E1","epiphyte"
"serlor","la_selva",1,NA,"serpocaulon_loriciforme","epiphyte","E1","epiphyte"
"serlor","la_selva",2,NA,"serpocaulon_loriciforme","epiphyte","E1","epiphyte"
"serlor","la_selva",3,NA,"serpocaulon_loriciforme","epiphyte","E1","epiphyte"
"serlor","la_selva",4,NA,"serpocaulon_loriciforme","epiphyte","E1","epiphyte"
"serlor","la_selva",5,NA,"serpocaulon_loriciforme","epiphyte","E1","epiphyte"
"serlor","la_selva",6,NA,"serpocaulon_loriciforme","epiphyte","E1","epiphyte"
"sertri","las_cruces",1,0.4,"serpocaulon_triseriale","epiphyte","E1","epiphyte"
"sertri","las_cruces",2,0.63,"serpocaulon_triseriale","epiphyte","E1","epiphyte"
"sertri","las_cruces",3,0.73,"serpocaulon_triseriale","epiphyte","E1","epiphyte"
"sertri","las_cruces",4,0.52,"serpocaulon_triseriale","epiphyte","E1","epiphyte"
"sertri","las_cruces",5,0.33,"serpocaulon_triseriale","epiphyte","E1","epiphyte"
"sertri","las_cruces",6,0.55,"serpocaulon_triseriale","epiphyte","E1","epiphyte"
"tecinc","la_selva",1,0.39,"tectaria_incisa","terrestrial","E1","terrestrial"
"tecinc","la_selva",2,0.6,"tectaria_incisa","terrestrial","E1","terrestrial"
"tecinc","la_selva",3,0.59,"tectaria_incisa","terrestrial","E1","terrestrial"
"tecinc","la_selva",4,0.4,"tectaria_incisa","terrestrial","E1","terrestrial"
"tecinc","la_selva",5,0.41,"tectaria_incisa","terrestrial","E1","terrestrial"
"tecinc","la_selva",6,0.8,"tectaria_incisa","terrestrial","E1","terrestrial"
"thecur","la_selva",1,0.4,"thelypteris_curtii","terrestrial","E2","terrestrial"
"thecur","la_selva",2,0.4,"thelypteris_curtii","terrestrial","E2","terrestrial"
"thecur","la_selva",3,0.3,"thelypteris_curtii","terrestrial","E2","terrestrial"
"thecur","la_selva",4,0.5,"thelypteris_curtii","terrestrial","E2","terrestrial"
"thecur","la_selva",5,0.45,"thelypteris_curtii","terrestrial","E2","terrestrial"
"thecur","la_selva",6,0.8,"thelypteris_curtii","terrestrial","E2","terrestrial"
"theden","la_selva",1,1.1,"thelypteris_dentata","terrestrial","E2","terrestrial"
"theden","la_selva",2,1.35,"thelypteris_dentata","terrestrial","E2","terrestrial"
"theden","la_selva",3,0.32,"thelypteris_dentata","terrestrial","E2","terrestrial"
"theden","la_selva",4,1.24,"thelypteris_dentata","terrestrial","E2","terrestrial"
"theden","la_selva",5,1,"thelypteris_dentata","terrestrial","E2","terrestrial"
"theden","la_selva",6,1.28,"thelypteris_dentata","terrestrial","E2","terrestrial"
"thenic","la_selva",1,0.7,"thelypteris_nicaraguensis","terrestrial","E2","terrestrial"
"thenic","la_selva",2,0.5,"thelypteris_nicaraguensis","terrestrial","E2","terrestrial"
"thenic","la_selva",3,0.8,"thelypteris_nicaraguensis","terrestrial","E2","terrestrial"
"thenic","la_selva",4,0.45,"thelypteris_nicaraguensis","terrestrial","E2","terrestrial"
"thenic","la_selva",5,0.7,"thelypteris_nicaraguensis","terrestrial","E2","terrestrial"
"thenic","la_selva",6,0.45,"thelypteris_nicaraguensis","terrestrial","E2","terrestrial"
